21 55
0  1  1.0
0  3  1.0
1  0  1.0
1  3  1.0
2  6  1.0
2  9  1.0
3  0  1.0
3  1  1.0
3  6  1.0
3  7  1.0
4  7  1.0
5  9  1.0
6  2  1.0
6  3  1.0
6  9  1.0
6  10 1.0
7  3  1.0
7  4  1.0
7  10 1.0
7  11 1.0
8  11 1.0
9  2  1.0
9  5  1.0
9  6  1.0
9  12 1.0
9  13 1.0
10 6  1.0
10 7  1.0
10 11 1.0
10 13 1.0
10 14 1.0
11 7  1.0
11 8  1.0
11 10 1.0
11 14 1.0
11 15 1.0
12 9  1.0
13 9  1.0
13 10 1.0
13 16 1.0
13 17 1.0
14 10 1.0
14 11 1.0
14 17 1.0
14 18 1.0
16 13 1.0
16 17 1.0
17 13 1.0
17 14 1.0
17 16 1.0
17 19 1.0
17 20 1.0
18 14 1.0
19 17 1.0
20 17 1.0
