612 6078
0 32 0.000006
0 33 0.000003
0 38 0.000018
0 39 0.000003
0 40 0.000003
0 41 0.000006
0 42 0.000003
0 43 0.000003
0 46 0.000006
0 48 0.000006
0 49 0.000003
0 50 0.000012
0 51 0.000012
0 52 0.000003
0 53 0.000009
0 55 0.000003
0 57 0.000006
0 58 0.000006
0 59 0.000006
0 60 0.000006
0 61 0.000015
0 62 0.000006
0 64 0.000012
0 65 0.000012
0 67 0.000006
0 68 0.000009
0 69 0.000015
0 70 0.000003
0 71 0.000003
0 73 0.000012
0 74 0.000006
0 75 0.000006
0 76 0.000033
0 78 0.004743
0 79 0.007973
0 80 0.003289
0 81 0.000303
0 82 0.005069
0 83 0.003058
0 84 0.000276
0 85 0.001530
0 86 0.000633
0 87 0.000024
0 88 0.005575
0 89 0.005197
0 90 0.006335
0 91 0.000166
0 92 0.005893
0 93 0.000092
0 94 0.006347
0 95 0.005753
0 96 0.003765
0 97 0.002983
0 98 0.002805
0 100 0.000300
0 101 0.000015
0 102 0.000267
0 103 0.011839
0 107 0.004270
0 110 0.005756
0 113 0.003218
0 116 0.009515
0 117 0.008594
0 120 0.001652
0 122 0.000045
0 124 0.021104
0 126 0.000003
0 128 0.003025
0 129 0.000003
0 130 0.000003
0 131 0.015030
0 132 0.002936
0 134 0.005649
0 135 0.000003
0 136 0.000006
0 137 0.041741
0 140 0.008365
0 143 0.002832
0 144 0.000945
0 145 0.000012
0 147 0.002235
0 151 0.098197
0 152 0.000003
0 154 0.011925
0 155 0.000024
0 157 0.000003
0 158 0.000003
0 160 0.003807
0 161 0.002345
0 163 0.001266
0 166 0.000520
0 167 0.000003
0 171 0.000018
0 172 0.002957
0 173 0.009328
0 174 0.001007
0 176 0.002511
0 177 0.002131
0 178 0.000015
0 179 0.000012
0 180 0.000368
0 182 0.003254
0 183 0.017074
0 184 0.030405
0 185 0.000053
0 186 0.006719
0 187 0.001114
0 188 0.001839
0 189 0.005946
0 190 0.005916
0 191 0.000722
0 192 0.002169
0 194 0.010044
0 195 0.000006
0 198 0.006701
0 199 0.004754
0 203 0.004006
0 204 0.000012
0 206 0.005072
0 208 0.007093
0 209 0.007274
0 212 0.002184
0 214 0.006992
0 217 0.003489
0 220 0.000012
0 221 0.001361
0 222 0.002728
0 224 0.000098
0 225 0.004000
0 226 0.008992
0 229 0.002434
0 231 0.000172
0 234 0.005289
0 237 0.003417
0 238 0.001245
0 243 0.003512
0 248 0.001643
0 250 0.002243
0 253 0.000012
0 254 0.000024
0 255 0.000208
0 256 0.000945
0 258 0.000006
0 259 0.000354
0 264 0.000615
0 265 0.005946
0 266 0.023772
0 267 0.000582
0 268 0.000012
0 270 0.001263
0 271 0.000633
0 272 0.000315
0 273 0.000006
0 274 0.000089
0 276 0.000012
0 278 0.002930
0 279 0.000556
0 280 0.000009
0 282 0.001833
0 283 0.001798
0 285 0.000303
0 288 0.000143
0 290 0.000003
0 291 0.000110
0 292 0.000478
0 294 0.000149
0 295 0.000003
0 296 0.000018
0 297 0.000116
0 299 0.000056
0 300 0.000009
0 302 0.000024
0 303 0.000003
0 304 0.000003
0 305 0.000042
0 307 0.006121
0 311 0.002974
0 315 0.005786
0 317 0.000003
0 320 0.003765
0 325 0.001738
0 328 0.000636
0 331 0.018305
0 334 0.009435
0 335 0.000003
0 337 0.005616
0 341 0.000018
0 342 0.010635
0 346 0.000003
0 348 0.003792
0 351 0.000574
0 353 0.002716
0 357 0.002353
0 361 0.002110
0 367 0.003177
0 373 0.001096
0 376 0.000092
0 379 0.000018
0 380 0.002731
0 381 0.001423
0 382 0.000107
0 383 0.000517
0 384 0.000728
0 385 0.000036
0 386 0.000024
0 387 0.000273
0 389 0.000012
0 390 0.000306
0 391 0.000591
0 392 0.000669
0 393 0.000042
0 394 0.001890
0 396 0.002520
0 397 0.000835
0 398 0.000214
0 399 0.001955
0 400 0.000523
0 402 0.000368
0 403 0.000009
0 404 0.000169
0 406 0.019446
0 408 0.012721
0 409 0.000009
0 410 0.002481
0 411 0.006650
0 412 0.005768
0 414 0.000092
0 415 0.011577
0 417 0.017912
0 418 0.000811
0 419 0.000039
0 420 0.002342
0 421 0.000594
0 424 0.003355
0 426 0.019065
0 430 0.074041
0 433 0.000770
0 434 0.003753
0 440 0.006344
0 446 0.002336
0 450 0.000137
0 453 0.010281
0 454 0.000006
0 455 0.003518
0 457 0.007479
0 458 0.000009
0 459 0.000006
0 460 0.000654
0 461 0.003821
0 463 0.000184
0 464 0.000315
0 465 0.000339
0 466 0.000276
0 467 0.011586
0 468 0.002588
0 469 0.000345
0 472 0.005931
0 473 0.016721
0 474 0.000018
0 475 0.000160
0 476 0.002187
0 477 0.000006
0 479 0.007824
0 481 0.000045
0 483 0.007075
0 486 0.001548
0 487 0.003096
0 489 0.000006
0 491 0.007007
0 493 0.017511
0 494 0.000053
0 496 0.002425
0 498 0.000125
0 499 0.000692
0 500 0.000018
